escenario,producto,mes,fecha,factor,litros_base,litros_escenario,unidades_escenario
Base,P1,Abr,2026-04-01,1.0,5068102,5068102,14480290
Base,P1,May,2026-05-01,1.0,5225009,5225009,14928596
Base,P1,Jun,2026-06-01,1.0,5381916,5381916,15376902
Base,P1,Jul,2026-07-01,1.0,5700836,5700836,16288104
Base,P1,Ago,2026-08-01,1.0,5374141,5374141,15354689
Base,P1,Sep,2026-09-01,1.0,5259798,5259798,15027993
Base,P1,Oct,2026-10-01,1.0,5410606,5410606,15458874
Base,P1,Nov,2026-11-01,1.0,5690767,5690767,16259333
Base,P1,Dic,2026-12-01,1.0,6408679,6408679,18310511
Base,P1,Ene,2027-01-01,1.0,5362943,5362943,15322693
Base,P1,Feb,2027-02-01,1.0,5012840,5012840,14322399
Base,P1,Mar,2027-03-01,1.0,5537994,5537994,15822840
Base,P2,Abr,2026-04-01,1.0,6324481,6324481,4216321
Base,P2,May,2026-05-01,1.0,6520286,6520286,4346857
Base,P2,Jun,2026-06-01,1.0,6716090,6716090,4477393
Base,P2,Jul,2026-07-01,1.0,7114068,7114068,4742712
Base,P2,Ago,2026-08-01,1.0,6706385,6706385,4470924
Base,P2,Sep,2026-09-01,1.0,6563696,6563696,4375797
Base,P2,Oct,2026-10-01,1.0,6751887,6751887,4501258
Base,P2,Nov,2026-11-01,1.0,7101500,7101500,4734333
Base,P2,Dic,2026-12-01,1.0,7997381,7997381,5331587
Base,P2,Ene,2027-01-01,1.0,6692410,6692410,4461606
Base,P2,Feb,2027-02-01,1.0,6255516,6255516,4170344
Base,P2,Mar,2027-03-01,1.0,6910856,6910856,4607237
Base,P3,Abr,2026-04-01,1.0,536539,536539,21462
Base,P3,May,2026-05-01,1.0,553150,553150,22126
Base,P3,Jun,2026-06-01,1.0,569761,569761,22790
Base,P3,Jul,2026-07-01,1.0,627602,627602,25104
Base,P3,Ago,2026-08-01,1.0,591636,591636,23665
Base,P3,Sep,2026-09-01,1.0,579048,579048,23162
Base,P3,Oct,2026-10-01,1.0,545322,545322,21813
Base,P3,Nov,2026-11-01,1.0,573558,573558,22942
Base,P3,Dic,2026-12-01,1.0,645915,645915,25837
Base,P3,Ene,2027-01-01,1.0,578555,578555,23142
Base,P3,Feb,2027-02-01,1.0,540786,540786,21631
Base,P3,Mar,2027-03-01,1.0,597439,597439,23898
Mundial 2026,P1,Abr,2026-04-01,1.0,5068102,5068102,14480290
Mundial 2026,P1,May,2026-05-01,1.0,5225009,5225009,14928596
Mundial 2026,P1,Jun,2026-06-01,1.06,5381916,5704831,16299516
Mundial 2026,P1,Jul,2026-07-01,1.1,5700836,6270920,17916915
Mundial 2026,P1,Ago,2026-08-01,1.02,5374141,5481624,15661782
Mundial 2026,P1,Sep,2026-09-01,1.0,5259798,5259798,15027993
Mundial 2026,P1,Oct,2026-10-01,1.0,5410606,5410606,15458874
Mundial 2026,P1,Nov,2026-11-01,1.0,5690767,5690767,16259333
Mundial 2026,P1,Dic,2026-12-01,1.0,6408679,6408679,18310511
Mundial 2026,P1,Ene,2027-01-01,1.0,5362943,5362943,15322693
Mundial 2026,P1,Feb,2027-02-01,1.0,5012840,5012840,14322399
Mundial 2026,P1,Mar,2027-03-01,1.0,5537994,5537994,15822840
Mundial 2026,P2,Abr,2026-04-01,1.0,6324481,6324481,4216321
Mundial 2026,P2,May,2026-05-01,1.0,6520286,6520286,4346857
Mundial 2026,P2,Jun,2026-06-01,1.06,6716090,7119056,4746037
Mundial 2026,P2,Jul,2026-07-01,1.1,7114068,7825475,5216983
Mundial 2026,P2,Ago,2026-08-01,1.02,6706385,6840513,4560342
Mundial 2026,P2,Sep,2026-09-01,1.0,6563696,6563696,4375797
Mundial 2026,P2,Oct,2026-10-01,1.0,6751887,6751887,4501258
Mundial 2026,P2,Nov,2026-11-01,1.0,7101500,7101500,4734333
Mundial 2026,P2,Dic,2026-12-01,1.0,7997381,7997381,5331587
Mundial 2026,P2,Ene,2027-01-01,1.0,6692410,6692410,4461606
Mundial 2026,P2,Feb,2027-02-01,1.0,6255516,6255516,4170344
Mundial 2026,P2,Mar,2027-03-01,1.0,6910856,6910856,4607237
Mundial 2026,P3,Abr,2026-04-01,1.0,536539,536539,21462
Mundial 2026,P3,May,2026-05-01,1.0,553150,553150,22126
Mundial 2026,P3,Jun,2026-06-01,1.01,569761,575458,23018
Mundial 2026,P3,Jul,2026-07-01,1.02,627602,640154,25606
Mundial 2026,P3,Ago,2026-08-01,1.0,591636,591636,23665
Mundial 2026,P3,Sep,2026-09-01,1.0,579048,579048,23162
Mundial 2026,P3,Oct,2026-10-01,1.0,545322,545322,21813
Mundial 2026,P3,Nov,2026-11-01,1.0,573558,573558,22942
Mundial 2026,P3,Dic,2026-12-01,1.0,645915,645915,25837
Mundial 2026,P3,Ene,2027-01-01,1.0,578555,578555,23142
Mundial 2026,P3,Feb,2027-02-01,1.0,540786,540786,21631
Mundial 2026,P3,Mar,2027-03-01,1.0,597439,597439,23898
Paro nacional / choque logistico,P1,Abr,2026-04-01,1.0,5068102,5068102,14480290
Paro nacional / choque logistico,P1,May,2026-05-01,1.0,5225009,5225009,14928596
Paro nacional / choque logistico,P1,Jun,2026-06-01,1.0,5381916,5381916,15376902
Paro nacional / choque logistico,P1,Jul,2026-07-01,1.0,5700836,5700836,16288104
Paro nacional / choque logistico,P1,Ago,2026-08-01,0.82,5374141,4406796,12590845
Paro nacional / choque logistico,P1,Sep,2026-09-01,1.0,5259798,5259798,15027993
Paro nacional / choque logistico,P1,Oct,2026-10-01,1.04,5410606,5627030,16077229
Paro nacional / choque logistico,P1,Nov,2026-11-01,1.0,5690767,5690767,16259333
Paro nacional / choque logistico,P1,Dic,2026-12-01,1.0,6408679,6408679,18310511
Paro nacional / choque logistico,P1,Ene,2027-01-01,1.0,5362943,5362943,15322693
Paro nacional / choque logistico,P1,Feb,2027-02-01,1.0,5012840,5012840,14322399
Paro nacional / choque logistico,P1,Mar,2027-03-01,1.0,5537994,5537994,15822840
Paro nacional / choque logistico,P2,Abr,2026-04-01,1.0,6324481,6324481,4216321
Paro nacional / choque logistico,P2,May,2026-05-01,1.0,6520286,6520286,4346857
Paro nacional / choque logistico,P2,Jun,2026-06-01,1.0,6716090,6716090,4477393
Paro nacional / choque logistico,P2,Jul,2026-07-01,1.0,7114068,7114068,4742712
Paro nacional / choque logistico,P2,Ago,2026-08-01,0.82,6706385,5499236,3666157
Paro nacional / choque logistico,P2,Sep,2026-09-01,1.0,6563696,6563696,4375797
Paro nacional / choque logistico,P2,Oct,2026-10-01,1.04,6751887,7021963,4681309
Paro nacional / choque logistico,P2,Nov,2026-11-01,1.0,7101500,7101500,4734333
Paro nacional / choque logistico,P2,Dic,2026-12-01,1.0,7997381,7997381,5331587
Paro nacional / choque logistico,P2,Ene,2027-01-01,1.0,6692410,6692410,4461606
Paro nacional / choque logistico,P2,Feb,2027-02-01,1.0,6255516,6255516,4170344
Paro nacional / choque logistico,P2,Mar,2027-03-01,1.0,6910856,6910856,4607237
Paro nacional / choque logistico,P3,Abr,2026-04-01,1.0,536539,536539,21462
Paro nacional / choque logistico,P3,May,2026-05-01,1.0,553150,553150,22126
Paro nacional / choque logistico,P3,Jun,2026-06-01,1.0,569761,569761,22790
Paro nacional / choque logistico,P3,Jul,2026-07-01,1.0,627602,627602,25104
Paro nacional / choque logistico,P3,Ago,2026-08-01,0.82,591636,485142,19406
Paro nacional / choque logistico,P3,Sep,2026-09-01,1.0,579048,579048,23162
Paro nacional / choque logistico,P3,Oct,2026-10-01,1.04,545322,567135,22685
Paro nacional / choque logistico,P3,Nov,2026-11-01,1.0,573558,573558,22942
Paro nacional / choque logistico,P3,Dic,2026-12-01,1.0,645915,645915,25837
Paro nacional / choque logistico,P3,Ene,2027-01-01,1.0,578555,578555,23142
Paro nacional / choque logistico,P3,Feb,2027-02-01,1.0,540786,540786,21631
Paro nacional / choque logistico,P3,Mar,2027-03-01,1.0,597439,597439,23898
Recesion moderada,P1,Abr,2026-04-01,1.0,5068102,5068102,14480290
Recesion moderada,P1,May,2026-05-01,1.0,5225009,5225009,14928596
Recesion moderada,P1,Jun,2026-06-01,0.95,5381916,5112820,14608057
Recesion moderada,P1,Jul,2026-07-01,0.95,5700836,5415795,15473699
Recesion moderada,P1,Ago,2026-08-01,0.95,5374141,5105434,14586954
Recesion moderada,P1,Sep,2026-09-01,0.95,5259798,4996808,14276593
Recesion moderada,P1,Oct,2026-10-01,0.95,5410606,5140076,14685930
Recesion moderada,P1,Nov,2026-11-01,0.95,5690767,5406228,15446366
Recesion moderada,P1,Dic,2026-12-01,0.95,6408679,6088245,17394985
Recesion moderada,P1,Ene,2027-01-01,0.95,5362943,5094795,14556558
Recesion moderada,P1,Feb,2027-02-01,0.95,5012840,4762198,13606279
Recesion moderada,P1,Mar,2027-03-01,0.95,5537994,5261094,15031698
Recesion moderada,P2,Abr,2026-04-01,1.0,6324481,6324481,4216321
Recesion moderada,P2,May,2026-05-01,1.0,6520286,6520286,4346857
Recesion moderada,P2,Jun,2026-06-01,0.95,6716090,6380286,4253524
Recesion moderada,P2,Jul,2026-07-01,0.95,7114068,6758365,4505577
Recesion moderada,P2,Ago,2026-08-01,0.95,6706385,6371066,4247377
Recesion moderada,P2,Sep,2026-09-01,0.95,6563696,6235511,4157008
Recesion moderada,P2,Oct,2026-10-01,0.95,6751887,6414293,4276195
Recesion moderada,P2,Nov,2026-11-01,0.95,7101500,6746425,4497616
Recesion moderada,P2,Dic,2026-12-01,0.95,7997381,7597512,5065008
Recesion moderada,P2,Ene,2027-01-01,0.95,6692410,6357789,4238526
Recesion moderada,P2,Feb,2027-02-01,0.95,6255516,5942741,3961827
Recesion moderada,P2,Mar,2027-03-01,0.95,6910856,6565313,4376876
Recesion moderada,P3,Abr,2026-04-01,1.0,536539,536539,21462
Recesion moderada,P3,May,2026-05-01,1.0,553150,553150,22126
Recesion moderada,P3,Jun,2026-06-01,0.98,569761,558366,22335
Recesion moderada,P3,Jul,2026-07-01,0.98,627602,615050,24602
Recesion moderada,P3,Ago,2026-08-01,0.98,591636,579804,23192
Recesion moderada,P3,Sep,2026-09-01,0.98,579048,567467,22699
Recesion moderada,P3,Oct,2026-10-01,0.98,545322,534415,21377
Recesion moderada,P3,Nov,2026-11-01,0.98,573558,562087,22483
Recesion moderada,P3,Dic,2026-12-01,0.98,645915,632997,25320
Recesion moderada,P3,Ene,2027-01-01,0.98,578555,566984,22679
Recesion moderada,P3,Feb,2027-02-01,0.98,540786,529970,21199
Recesion moderada,P3,Mar,2027-03-01,0.98,597439,585491,23420
Restriccion hidrica adicional (CAR),P1,Abr,2026-04-01,1.0,5068102,5068102,14480290
Restriccion hidrica adicional (CAR),P1,May,2026-05-01,1.0,5225009,5225009,14928596
Restriccion hidrica adicional (CAR),P1,Jun,2026-06-01,1.0,5381916,5381916,15376902
Restriccion hidrica adicional (CAR),P1,Jul,2026-07-01,1.0,5700836,5700836,16288104
Restriccion hidrica adicional (CAR),P1,Ago,2026-08-01,1.0,5374141,5374141,15354689
Restriccion hidrica adicional (CAR),P1,Sep,2026-09-01,1.0,5259798,5259798,15027993
Restriccion hidrica adicional (CAR),P1,Oct,2026-10-01,1.0,5410606,5410606,15458874
Restriccion hidrica adicional (CAR),P1,Nov,2026-11-01,1.0,5690767,5690767,16259333
Restriccion hidrica adicional (CAR),P1,Dic,2026-12-01,1.0,6408679,6408679,18310511
Restriccion hidrica adicional (CAR),P1,Ene,2027-01-01,1.0,5362943,5362943,15322693
Restriccion hidrica adicional (CAR),P1,Feb,2027-02-01,1.0,5012840,5012840,14322399
Restriccion hidrica adicional (CAR),P1,Mar,2027-03-01,1.0,5537994,5537994,15822840
Restriccion hidrica adicional (CAR),P2,Abr,2026-04-01,1.0,6324481,6324481,4216321
Restriccion hidrica adicional (CAR),P2,May,2026-05-01,1.0,6520286,6520286,4346857
Restriccion hidrica adicional (CAR),P2,Jun,2026-06-01,1.0,6716090,6716090,4477393
Restriccion hidrica adicional (CAR),P2,Jul,2026-07-01,1.0,7114068,7114068,4742712
