escenario,producto,total_anual_base_L,total_anual_escenario_L,delta_pct,MC_P5_L,MC_P50_L,MC_P95_L,descripcion
Base,P1,65433628,65433628,0.0,64521871,65598545,66698891,"Pronostico oficial del proyecto, sin ajuste."
Base,P2,81654557,81654557,0.0,80542121,81886041,83244753,"Pronostico oficial del proyecto, sin ajuste."
Base,P3,6939311,6939311,0.0,6639228,6860753,7089166,"Pronostico oficial del proyecto, sin ajuste."
Mundial 2026,P1,65433628,66434110,1.53,65500199,66615206,67717800,"Upside NO incluido en el escenario base (ver S6, reporte v3): KOF definio un plan comercial explicito para el Mundial FIFA (11-jun al 19-jul-2026) [12],[13],[20]. Se modela un incremento en jun (idx2) y jul (idx3) para las gaseosas; el garrafon casi no participa de este efecto (r=0,12 con refrescos, Sec. VI del reporte)."
Mundial 2026,P2,81654557,82903057,1.53,81762421,83115002,84458055,"Upside NO incluido en el escenario base (ver S6, reporte v3): KOF definio un plan comercial explicito para el Mundial FIFA (11-jun al 19-jul-2026) [12],[13],[20]. Se modela un incremento en jun (idx2) y jul (idx3) para las gaseosas; el garrafon casi no participa de este efecto (r=0,12 con refrescos, Sec. VI del reporte)."
Mundial 2026,P3,6939311,6957561,0.26,6648291,6881767,7113283,"Upside NO incluido en el escenario base (ver S6, reporte v3): KOF definio un plan comercial explicito para el Mundial FIFA (11-jun al 19-jul-2026) [12],[13],[20]. Se modela un incremento en jun (idx2) y jul (idx3) para las gaseosas; el garrafon casi no participa de este efecto (r=0,12 con refrescos, Sec. VI del reporte)."
Paro nacional / choque logistico,P1,65433628,64682707,-1.15,63781780,64868504,65934881,"Disrupcion de transporte de ~2 semanas (paro camionero o de orden publico, recurrentes en Colombia) que impide despachar en un mes cualquiera del horizonte. Se ilustra en agosto (idx4): -18% en las tres lineas por perdida de dias habiles de despacho; octubre (idx6) recupera parcialmente (+4%) por recuperacion de pedidos representados."
Paro nacional / choque logistico,P2,81654557,80717483,-1.15,79617849,80950647,82271168,"Disrupcion de transporte de ~2 semanas (paro camionero o de orden publico, recurrentes en Colombia) que impide despachar en un mes cualquiera del horizonte. Se ilustra en agosto (idx4): -18% en las tres lineas por perdida de dias habiles de despacho; octubre (idx6) recupera parcialmente (+4%) por recuperacion de pedidos representados."
Paro nacional / choque logistico,P3,6939311,6854630,-1.22,6549860,6779913,7009742,"Disrupcion de transporte de ~2 semanas (paro camionero o de orden publico, recurrentes en Colombia) que impide despachar en un mes cualquiera del horizonte. Se ilustra en agosto (idx4): -18% en las tres lineas por perdida de dias habiles de despacho; octubre (idx6) recupera parcialmente (+4%) por recuperacion de pedidos representados."
Recesion moderada,P1,65433628,62676602,-4.21,61821688,62853867,63886136,"Desaceleracion economica sostenida (caida de ingreso disponible): elasticidad-ingreso positiva de bebidas no esenciales. Se aplica -5% sostenido en gaseosas desde jun (idx2) en adelante; el garrafon (bien mas inelastico, consumo basico de agua) se reduce solo -2%."
