producto,trimestre,real,pronostico,error,CFE,MAD,TS,dentro_limites
P1,2025T1,14174737,15171089,-996353,-996353,996353,-1.0,True
P1,2025T2,14588262,15282484,-694222,-1690575,845287,-2.0,True
P1,2025T3,15759918,15763945,-4028,-1694602,564867,-3.0,True
P1,2025T4,17046442,16847740,198702,-1495900,473326,-3.16,True
P1,2026T1,15484234,15579574,-95340,-1591241,397729,-4.0,False
P2,2025T1,17688642,18931992,-1243350,-1243350,1243350,-1.0,True
P2,2025T2,18204680,19071001,-866321,-2109671,1054835,-2.0,True
P2,2025T3,19666788,19671817,-5029,-2114700,704900,-3.0,True
P2,2025T4,21272240,21024278,247963,-1866738,590666,-3.16,True
P2,2026T1,19322763,19441738,-118975,-1985713,496328,-4.0,False
P3,2025T1,1689238,1806956,-117718,-117718,117718,-1.0,True
P3,2025T2,1689238,1746961,-57723,-175441,87720,-2.0,True
P3,2025T3,1834030,1896792,-62762,-238203,79401,-3.0,True
P3,2025T4,1785766,1855033,-69267,-307470,76867,-4.0,True
P3,2026T1,1737502,1828063,-90561,-398031,79606,-5.0,False
