producto,mes,P5,P50,P95,base_HW
P1,Abr,4789264,5082046,5377287,5068102
P1,May,4938281,5239493,5542167,5225009
P1,Jun,5082111,5392591,5706888,5381916
P1,Jul,5385806,5718010,6042868,5700836
P1,Ago,5091329,5387375,5704940,5374141
P1,Sep,4975953,5276276,5573465,5259798
P1,Oct,5112965,5421939,5735780,5410606
P1,Nov,5379149,5701116,6038177,5690767
P1,Dic,6057829,6423394,6793738,6408679
P1,Ene,5064621,5374635,5677661,5362943
P1,Feb,4742719,5024940,5313397,5012840
P1,Mar,5227590,5550231,5865163,5537994
P2,Abr,5974010,6337306,6699626,6324481
P2,May,6166146,6541673,6913777,6520286
P2,Jun,6363042,6735712,7120870,6716090
P2,Jul,6724992,7135999,7547050,7114068
P2,Ago,6340611,6732672,7113701,6706385
P2,Sep,6205360,6587421,6960345,6563696
P2,Oct,6387006,6771996,7147951,6751887
P2,Nov,6712279,7125033,7532421,7101500
P2,Dic,7563121,8020827,8477511,7997381
P2,Ene,6329832,6711458,7089953,6692410
P2,Feb,5914822,6267538,6628181,6255516
P2,Mar,6541270,6930317,7327323,6910856
P3,Abr,468618,530695,592062,536539
P3,May,484031,546642,610658,553150
P3,Jun,498038,564097,628621,569761
P3,Jul,547225,620882,692127,627602
P3,Ago,517553,584656,652605,591636
P3,Sep,505650,572907,641311,579048
P3,Oct,476216,539534,602441,545322
P3,Nov,499985,566798,632496,573558
P3,Dic,564798,639101,715101,645915
P3,Ene,504688,572643,640319,578555
P3,Feb,471760,534387,596891,540786
P3,Mar,522342,590742,659889,597439
