fecha,producto,litros,unidades,agrupaciones,pallets,lote_estandar_pallets,lote_estandar_unidades
2026-04-01,P1,5068101.5,14480290,482677,8939,162,262440
2026-05-01,P1,5225008.7,14928596,497620,9216,162,262440
2026-06-01,P1,5381915.8,15376902,512564,9492,162,262440
2026-07-01,P1,5700836.5,16288104,542937,10055,162,262440
2026-08-01,P1,5374141.0,15354689,511823,9479,162,262440
2026-09-01,P1,5259797.6,15027993,500934,9277,162,262440
2026-10-01,P1,5410605.8,15458874,515296,9543,162,262440
2026-11-01,P1,5690766.6,16259333,541978,10037,162,262440
2026-12-01,P1,6408678.7,18310511,610351,11303,162,262440
2027-01-01,P1,5362942.6,15322693,510757,9459,162,262440
2027-02-01,P1,5012839.5,14322399,477414,8841,162,262440
2027-03-01,P1,5537994.1,15822840,527428,9768,162,262440
2026-04-01,P2,6324481.3,4216321,702721,5020,87,73080
2026-05-01,P2,6520285.7,4346857,724477,5175,87,73080
2026-06-01,P2,6716090.1,4477393,746233,5331,87,73080
2026-07-01,P2,7114068.3,4742712,790452,5647,87,73080
2026-08-01,P2,6706385.3,4470924,745154,5323,87,73080
2026-09-01,P2,6563696.2,4375797,729300,5210,87,73080
2026-10-01,P2,6751887.3,4501258,750210,5359,87,73080
2026-11-01,P2,7101499.6,4734333,789056,5637,87,73080
2026-12-01,P2,7997381.0,5331587,888598,6348,87,73080
2027-01-01,P2,6692409.6,4461606,743601,5312,87,73080
2027-02-01,P2,6255516.4,4170344,695058,4965,87,73080
2027-03-01,P2,6910856.2,4607237,767873,5485,87,73080
2026-04-01,P3,536538.6,21462,3577,716,96,2880
2026-05-01,P3,553149.7,22126,3688,738,96,2880
2026-06-01,P3,569760.8,22790,3799,760,96,2880
2026-07-01,P3,627602.2,25104,4184,837,96,2880
2026-08-01,P3,591636.5,23665,3945,789,96,2880
2026-09-01,P3,579048.4,23162,3861,773,96,2880
2026-10-01,P3,545321.8,21813,3636,728,96,2880
2026-11-01,P3,573558.5,22942,3824,765,96,2880
2026-12-01,P3,645915.1,25837,4307,862,96,2880
2027-01-01,P3,578554.8,23142,3857,772,96,2880
2027-02-01,P3,540785.6,21631,3606,722,96,2880
2027-03-01,P3,597439.4,23898,3983,797,96,2880
