fecha,producto,litros,unidades
2026-04-01,P1,5068101.5,14480290
2026-04-01,P2,6324481.3,4216321
2026-04-01,P3,536538.6,21462
2026-05-01,P1,5225008.7,14928596
2026-05-01,P2,6520285.7,4346857
2026-05-01,P3,553149.7,22126
2026-06-01,P1,5381915.8,15376902
2026-06-01,P2,6716090.1,4477393
2026-06-01,P3,569760.8,22790
2026-07-01,P1,5700836.5,16288104
2026-07-01,P2,7114068.3,4742712
2026-07-01,P3,627602.2,25104
2026-08-01,P1,5374141.0,15354689
2026-08-01,P2,6706385.3,4470924
2026-08-01,P3,591636.5,23665
2026-09-01,P1,5259797.6,15027993
2026-09-01,P2,6563696.2,4375797
2026-09-01,P3,579048.4,23162
2026-10-01,P1,5410605.8,15458874
2026-10-01,P2,6751887.3,4501258
2026-10-01,P3,545321.8,21813
2026-11-01,P1,5690766.6,16259333
2026-11-01,P2,7101499.6,4734333
2026-11-01,P3,573558.5,22942
2026-12-01,P1,6408678.7,18310511
2026-12-01,P2,7997381.0,5331587
2026-12-01,P3,645915.1,25837
2027-01-01,P1,5362942.6,15322693
2027-01-01,P2,6692409.6,4461606
2027-01-01,P3,578554.8,23142
2027-02-01,P1,5012839.5,14322399
2027-02-01,P2,6255516.4,4170344
2027-02-01,P3,540785.6,21631
2027-03-01,P1,5537994.1,15822840
2027-03-01,P2,6910856.2,4607237
2027-03-01,P3,597439.4,23898
