id,bom_id/id,product_id/id,product_qty
__import__.boml_prod_cc_ret_350_comp_agua,__import__.bom_prod_cc_ret_350,__import__.comp_agua,0.315
__import__.boml_prod_cc_ret_350_comp_conc_cc,__import__.bom_prod_cc_ret_350,__import__.comp_conc_cc,35.0
__import__.boml_prod_cc_ret_350_comp_co2,__import__.bom_prod_cc_ret_350,__import__.comp_co2,3.0
__import__.boml_prod_cc_ret_350_comp_casco_350,__import__.bom_prod_cc_ret_350,__import__.comp_casco_350,1.0
__import__.boml_prod_cc_ret_350_comp_tapa_cc,__import__.bom_prod_cc_ret_350,__import__.comp_tapa_cc,1.0
__import__.boml_prod_qt_nr_1500_comp_agua,__import__.bom_prod_qt_nr_1500,__import__.comp_agua,1.35
__import__.boml_prod_qt_nr_1500_comp_conc_qt,__import__.bom_prod_qt_nr_1500,__import__.comp_conc_qt,150.0
__import__.boml_prod_qt_nr_1500_comp_co2,__import__.bom_prod_qt_nr_1500,__import__.comp_co2,12.0
__import__.boml_prod_qt_nr_1500_comp_pet_15,__import__.bom_prod_qt_nr_1500,__import__.comp_pet_15,1.0
__import__.boml_prod_qt_nr_1500_comp_tapa_pet,__import__.bom_prod_qt_nr_1500,__import__.comp_tapa_pet,1.0
__import__.boml_prod_qt_nr_1500_comp_etiq_qt,__import__.bom_prod_qt_nr_1500,__import__.comp_etiq_qt,1.0
__import__.boml_prod_ag_gf_25_comp_agua,__import__.bom_prod_ag_gf_25,__import__.comp_agua,25.0
__import__.boml_prod_ag_gf_25_comp_casco_gf,__import__.bom_prod_ag_gf_25,__import__.comp_casco_gf,1.0
__import__.boml_prod_ag_gf_25_comp_tapa_gf,__import__.bom_prod_ag_gf_25,__import__.comp_tapa_gf,1.0
